OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PCT_RENTER_OCC_UNITS,HCV_PUBLIC_PCT,SHAPE_Length,SHAPE_Area
60314,37181960300,37,181,960300,133,"Raleigh-Durham-Cary, NC  ",,,,0.616308275587338,0.0115541938675924
60315,37135010701,37,135,010701,133,"Raleigh-Durham-Cary, NC  ",,,,0.20556219491944,0.00206388237180512
60316,37081014200,37,081,014200,66,"Greensboro--Winston-Salem--High Point, NC  ",210,27.03000069,27.03000069,0.086171164512057,0.000419256448785566
60400,37139960200,37,139,960200,173,"Virginia Beach-Norfolk-Newport News, VA-NC   ",62,9.48999977,9.48999977,0.0945174050960016,0.000429394190615136
60401,37139960100,37,139,960100,173,"Virginia Beach-Norfolk-Newport News, VA-NC   ",40,8.75,8.75,0.077061986358507,0.0001622001593203
60402,37139960600,37,139,960600,173,"Virginia Beach-Norfolk-Newport News, VA-NC   ",39,6.94000006,6.94000006,0.485013928403181,0.00880179858111508
60406,37145920400,37,145,920400,133,"Raleigh-Durham-Cary, NC  ",29,4.92999983,4.92999983,0.188119685976548,0.000907762818116906
60407,37145920200,37,145,920200,133,"Raleigh-Durham-Cary, NC  ",,,,0.768258101940579,0.0306231398408887
60408,37145920500,37,145,920500,133,"Raleigh-Durham-Cary, NC  ",,,,0.58574365995424,0.0177796960273497
60409,37127010200,37,127,010200,133,"Raleigh-Durham-Cary, NC  ",126,9.19999981,9.19999981,0.16334722231728,0.00109894520973223
60410,37127010300,37,127,010300,133,"Raleigh-Durham-Cary, NC  ",47,4.26999998,4.26999998,0.219779713874674,0.00203735586252724
60411,37181960100,37,181,960100,133,"Raleigh-Durham-Cary, NC  ",,,,0.544358750935977,0.0130319296321325
60412,37181961000,37,181,961000,133,"Raleigh-Durham-Cary, NC  ",,,,0.604339907211184,0.013561290375352
60413,37067002002,37,067,002002,66,"Greensboro--Winston-Salem--High Point, NC  ",39,8.97000027,8.97000027,0.0752880226008551,0.000331971665908123
60414,37067002100,37,067,002100,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.0688690159035901,0.000203554589188969
60415,37067002200,37,067,002200,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.0979950504438983,0.000445008003534024
60514,37145920300,37,145,920300,133,"Raleigh-Durham-Cary, NC  ",29,2.0999999,2.0999999,0.201232825755408,0.00243459164599225
60515,37145920100,37,145,920100,133,"Raleigh-Durham-Cary, NC  ",,,,0.749420471228545,0.0269190148981742
60516,37001020801,37,001,020801,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.211755661779483,0.00120498712094742
60517,37001021703,37,001,021703,66,"Greensboro--Winston-Salem--High Point, NC  ",23,2.01999998,2.01999998,0.259631824621189,0.00257445688756846
60518,37001020501,37,001,020501,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.146094794245288,0.000722509564595068
60519,37181960800,37,181,960800,133,"Raleigh-Durham-Cary, NC  ",14,3.29999995,3.29999995,0.143508481018516,0.000914213267146949
60520,37181960400,37,181,960400,133,"Raleigh-Durham-Cary, NC  ",16,2.3599999,2.3599999,0.140445099392275,0.000965132692184066
60521,37181960900,37,181,960900,133,"Raleigh-Durham-Cary, NC  ",56,6.17999983,6.17999983,0.412206598983575,0.0094278827299081
60522,37181960700,37,181,960700,133,"Raleigh-Durham-Cary, NC  ",56,5.76000023,5.76000023,0.083883230400252,0.000328831558541531
60523,37181960500,37,181,960500,133,"Raleigh-Durham-Cary, NC  ",61,4.28999996,4.28999996,0.119942211238007,0.000621234590835434
66788,37001020100,37,001,020100,66,"Greensboro--Winston-Salem--High Point, NC  ",52,5.26999998,5.26999998,0.105969694946203,0.000451482009066014
66886,37001020200,37,001,020200,66,"Greensboro--Winston-Salem--High Point, NC  ",67,7.82000017,7.82000017,0.0850786807044405,0.000345725527819982
66887,37001021600,37,001,021600,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.292995385866001,0.00340983641657662
66888,37001021400,37,001,021400,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.503425756075107,0.00698391241320006
